symbol,net_income_cagr_percent,latest_ni_yoy_growth_percent,ni_recent_avg_growth_percent,earnings_volatility,latest_oi_yoy_growth_percent,oi_recent_avg_growth_percent,latest_ebitda_yoy_growth_percent,ebitda_recent_avg_growth_percent,company_name,sector
TCS,8.2,5.76,8.22,2.19,4.81,8.6,5.33,7.75,Tata Consultancy Services Limited,Technology
JSWSTEEL,-44.64,-60.24,-9.18,105.96,-32.24,-13.53,-23.13,-7.25,JSW Steel Limited,Basic Materials
M&M,25.26,14.74,26.88,25.62,23.77,29.38,21.45,24.65,Mahindra & Mahindra Limited,Consumer Cyclical
WIPRO,2.44,18.92,3.04,13.93,12.68,3.68,12.79,4.62,Wipro Limited,Technology
TECHM,-8.59,80.32,5.31,67.68,63.25,2.95,44.06,0.36,Tech Mahindra Limited,Technology
CIPLA,27.95,27.93,28.78,17.9,14.9,19.28,16.76,20.62,Cipla Limited,Healthcare
LTIM,5.21,0.36,5.32,5.77,-1.17,5.85,5.58,7.61,LTIMindtree Limited,Technology
SBIN,29.91,15.62,31.16,22.78,,,,,State Bank of India,Financial Services
TATACONSUM,10.96,11.14,11.78,16.55,-1.49,9.34,21.1,14.29,Tata Consumer Products Limited,Consumer Defensive
INFY,6.62,6.24,6.75,6.41,-0.28,5.15,6.04,6.98,Infosys Limited,Technology
BRITANNIA,12.63,1.82,15.42,32.28,0.15,13.51,0.02,13.38,Britannia Industries Limited,Consumer Defensive
COALINDIA,26.76,-5.47,31.76,45.86,-9.92,15.44,1.11,29.86,Coal India Limited,Energy
ADANIPOWER,37.42,-38.79,57.93,84.63,19.28,39.01,-14.59,29.75,Adani Power Limited,Utilities
AXISBANK,25.71,6.32,42.28,89.25,,,,,Axis Bank Limited,Financial Services
ITC,31.6,69.84,34.12,32.41,2.53,9.44,2.36,9.15,ITC Limited,Consumer Defensive
ASIANPAINT,6.56,-32.84,11.88,38.74,-26.03,12.03,-24.38,10.82,Asian Paints Limited,Basic Materials
ONGC,-7.33,-26.29,-3.92,32.92,-9.07,29.48,-12.77,9.86,Oil and Natural Gas Corporation Limited,Energy
INDUSINDBK,-18.76,-71.31,1.4,65.26,,,,,IndusInd Bank Limited,Financial Services
