Time Now: 2025-07-17 08:14:20.201528
Cutoff Time: 2025-07-17 12:00:00
Now < Cutoff Time: True
Fetching news from 2025-07-16T12:00:00 to 2025-07-17T08:14:20.201528
('2025-07-16T12:00:00', 'RELIANCE', 'Reliance walks fine line on Russia-US energy  Breakingviews', 'https://news.google.com/rss/articles/CBMiqwFBVV95cUxPcGd2Tk9FcC0yMzFhRXpfblBtRFJ4NE1sa3RXUk5naVFjQ2Vad0s4cmFfTVAySVVfRHJZeEFYcEFDQXdWUDI1bFhlUTlsR1BPazlRYTJibW5sTzNBSE1TZThKYnBBSXBRTTU2dl9ObWxIaXRvQnU5emVxTFhTZGtzdHhLOWNlWks2NEdDZmpmWXotTGllZzFDN2JMb0FJWjQxQm1SblVycWhGejQ?oc=5&hl=en-IN&gl=IN&ceid=IN:en')
('2025-07-16T12:00:40', 'TITAN', 'Arctic Zone Titan 24 Can Backpack Cooler review  The Gadgeteer', 'https://news.google.com/rss/articles/CBMijgFBVV95cUxPX0hCU1VrYW15eUxmbWY5MTZPODdWNDVLbWw5dXBhQXR4LXUwU1RtcEtTQ1RNMGNsVmRsTUI1cVoxQjhWNzdkbGx3Um1kVG4yZ2U2bGU5YU9KSlhXdjRuNC11WDRUN1NkaWxBZDc1UkQ3T3dZeDRwZmd0S2hUME9CZ2oxekwwUkc5cXc3VFpn?oc=5&hl=en-IN&gl=IN&ceid=IN:en')
('2025-07-16T12:01:44', 'NTPC', 'Govt Approves ₹20,000 Crore Investment Power For NTPC To Add 60 GW Green Energy By 2032  Free Press Journal', 'https://news.google.com/rss/articles/CBMixAFBVV95cUxOSFJaQUw3N1NxZTR4RlItc01CbUZnS1RDb2I1c3JaUlEzTEMyYU1TZUx0LWZESlpUYVNxZEs5X2VwdVdieU5xLURDLUlONDFROWl5RnRKU3lsV0pIZmtveFowRmMtVDdvc09nQVZ1dC1YQnl6WGhaWXFPMHpUeDQ5THFJMmwzeWlwd0w1S2F6Y2toQzNhcWYtRVltU2FwWS0tblVtRW5xMTdDMnU1QzdsclQ0S0N6SHF5cGpCcG5fUk5tdFBw0gHKAUFVX3lxTE44cDhBcVMyekZiU0VFQnBVaVYtejdUWmE0MEZfdGtPNDNnVVNwSVhZY3RoWDN4X1hHNWhEbXEzUk5aV2dBUGJXMkJKVEJIN0NKYkFYVWVhdDN5TlQyMlI0dFF1akhDQWd1czVDREZuZzB6elh4OElxQWVadTFRTzhhc3dIbGFUY0pTTG91djZZVEQwWjlFVUp2eTljVkt3T080Y3FqQmRuMEpkRHlCaFluTnJKRExFeUlILWJGNU9zRUF4eERTQ3dmcHc?oc=5&hl=en-IN&gl=IN&ceid=IN:en')
('2025-07-16T12:02:17', 'SBI', 'State Bank of India launches 250 billion rupee share sale to institutional investors  Reuters', 'https://news.google.com/rss/articles/CBMivgFBVV95cUxOZFBTTFJFMXRFcUVZRUhDczN6OTBKNTNueFpWbk1EV0Jtb0JZdlhwMFZsVFkxSno0SkZac2Z4TnRURXRpVkZWVU1NQTJOTkhETDM1aC1sNkZZZ2tRY2NqeTNMR2JWcVRUVDRZYUVIcWpubm1QX1VXTUlpTm53MDhkX1VibXNwR19qeVhrZUJiaHF3WjFMcGpPVjQ5SjU0eWdSVHcwWW9zYU9EcmgyVkF6eFZ3cXc2WVBEdndKUUF3?oc=5&hl=en-IN&gl=IN&ceid=IN:en')
('2025-07-16T12:04:30', 'TATASTEEL', 'Tata Steel UK Embraces Scrap-Based Steelmaking for a Greener Future  The Avenue Mail', 'https://news.google.com/rss/articles/CBMilAFBVV95cUxOVnFzNzNRVjAxVnE0T3g5dS1CUnVjWS1FQ3h0R1I2ME9CNzNKVVhFR2VTci1ka1RaOW5aVTdicFl1Yk9Mbkd4SElSNkFMbXlDSmhBeFZRbWRlbTFmbFp3RDliSDR2X2htQ0lMSW01NjBocEg1WWd0S1dMZkw5NjA3RGxMMUlnMWQ5OUh2dkVyUzZ1b2ls?oc=5&hl=en-IN&gl=IN&ceid=IN:en')
('2025-07-16T12:08:00', 'M&M', 'Co-op boss admits all 6.5m members had data stolen in cyber-attack  The Guardian', 'https://news.google.com/rss/articles/CBMitAFBVV95cUxPS3pXQm84TVN2UmJqNEx4clVidHMyTkxocHdzMC1GOEpGa2lzZVpoak1EQnJnb0NnQW1LazM4bEhsQUhEbXVPRUQzcTNXcnFOOF9jUFNaWFNLdUZBN1I1SUVRbDdHOEY5cE1uTDh0M0Q1QUVlTFptSGgtYnNVenNsek9HVmJVdUlhMlp4UmtZa0p0Y3J2OTdsWVZRclNMaFVGVmkxX2dBbEEtdHB3N3l2ZjJ5OTk?oc=5&hl=en-IN&gl=IN&ceid=IN:en')
('2025-07-16T12:09:51', 'RELIANCE', 'Delhi HC Directs Amazon, Flipkart, Meesho From Delisting Products Using Reliance And Jio Trademark Unauthorized  Mashable India', 'https://news.google.com/rss/articles/CBMi0AFBVV95cUxPVEkzSjBmazZ1X1VQUUx0SUdUMTNuUVpYWWZuYi1xWE03SXhzYTJrWWF2MmRtbkFleFpvZlUxNmpyQVdvS251RFp3OUpqa3Y3NWx2c3RDRXhKZXZXVG9LcWhDeXZINWVnYjF5OXRNUWs1TGNyMHg3Z0VsZEg0dTJ3TFZaWmlvV1VoQllwbUpxSDFaWFVtMExmaWlfNzJ4T3VwdUh6Zk1PUWZxcWcxc0dIQjRGMHk4RzdHQWhiX3NQQi1RNEVyV3pVNDNYUUhWTXZx?oc=5&hl=en-IN&gl=IN&ceid=IN:en')
('2025-07-16T12:12:00', 'ITC', 'ITC Hotels Q1 results: Net profit surges 53% YoY to Rs 134 crore; revenue rises 15.5% YoY to Rs 816 crore  Times of India', 'https://news.google.com/rss/articles/CBMilgJBVV95cUxOQzVkYzVQWEd3aTR1ZVNQVHdmSk9KLVdLX19mNi0xVjhDMWhOYVd3cDV4ZFhXRlJmVUQ3NXYteW5qSExOVGZSSkJfc0hYalhMU1dCa2xYZ1FpYlFMNmxxZHRxUkZ5dmxEYTlFcjhFbmZ0TXRoX3Uwd3RWbERPb1FXaTEydGdIcjNHXzZ3UjZHMGg1b0hOR2pYS0ZPNWc5RUg4aWFIQTI3MzNmOW03LXVHbllYSDk4Q2pKSGYzREY1M3NnNmpNRFJMZ0ZoYm1WRmZGSjJKWmRXek56S3ZvMlVoa0pJd0FTS3NMOTBhcUljcExPanpjajdqTEhkdU9ob1hFSF9VM2kzcms2OUZncXBzQUpsTzRZUdIBmwJBVV95cUxPVDFZNjEtZWFvNWtLazd1QzhkYWtLR0c2RE9qNGFfck1XRXhqaGo3c284Y3VYbVBfVkRvV1pLXy1wQkVTcTdwTE1JRnhIa2FIanFXMjdnWmhEMkNRR3hyQjR1YkVfSkVkLW92YkJQb1RibjlGQjJMNTRqT241UWhITl9VbjFSQ0NrM3RTNXA4Z1RsaXo5QmQ4MlV0U05aUG1QLUs0UEZTV1NTMlFnN1RrdEJYcmVEWlpfMzMwVlpUN09ucHBCRnhrR0hfcDZjU0szd1VESTFuYTVEbDhXRlBIa1QzT2dobzNyWWt4M2RZWV9nZ29ibUk3bGdaS240RHZBQ3cwMjFxei15cUFIbVFJdExNbHJJLXRQdE1R?oc=5&hl=en-IN&gl=IN&ceid=IN:en')
('2025-07-16T12:12:22', 'ITC', "ITC's Sunfeast Wowzers onboards Shah Rukh Khan; launches new campaign  Storyboard18", 'https://news.google.com/rss/articles/CBMiugFBVV95cUxNaVJ3WlllRF9EaUNhei1YM2hxYWp6VW1aajAzR3hzMmZEb0tFUHBMMG0yS01rVXdVT3p1MnpTLXNwV0tiN0FmWlZrTFoxcnd0QVlrd18xNVFDTUZSN0VXenJ0TV9UY2RBR3VhRUNha0FzTGRRMWx1ZGRMeUFPLUFTbTVFTjN3akdNM05WZndNVWRJbUppVU9WWHc5Ujlsa1NJUmFsaHJzZmltMS1PZWVRRXdjVF9jTElDUFHSAb8BQVVfeXFMUER4aXdqVlp4VTZFRGJpeXRZaVdIdkVDMlh0SlhKSHgxSDZXNl96MVJtM2R4dnAxcU5mU2t6MnF3dnFLTFlqT3N1bWZLVHdjOUJjckJYN3hCdHd5dG4zVzVsbng5djY1UUU0MEkxZ041MmJxQk1aZUVFMFdBNVIxQ0RWclQ0TmVRM2hwbGpiLXpkcmFlbG4yNVZqRFc5eFprZU9MbGdFNW9JbW1CNzViTnpOdGNjUlZDUGxfQ1h1SGc?oc=5&hl=en-IN&gl=IN&ceid=IN:en')
('2025-07-16T12:15:12', 'SBI', 'SBI Kicks Off Mega QIP, Sets Issue Price At 5% Discount To Attract Big Investors  NDTV Profit', 'https://news.google.com/rss/articles/CBMitAFBVV95cUxQQjQzaHFLamNTMThJWEZETFpVWnF0ako1Rk9hVFpya2RjeXJ2VTladXFpbTZUU3U2YVlPbHJBbVpZS3I5Sy1OR1dCcDh3S3duNE5hd3h4TmJWb2JlYzRZZGQ2YmRmNkF1SDQyaEN3UmpjeGpjbGdCOWE2SG80c1IwR3M1eVA5UE5rQUs2SldJNzBScU9uc3ltQW9Ld0NjY3pTNWFNNU94eWR5UDZoeGlIalZPRS3SAboBQVVfeXFMT21jODV4YUxpeXY2WDAwLTFueC1YYWlRQUFDZEVNVXh1Q09GTm91dXI5ZGdoaG5TcmI4ZW5IZnYzUmxRUXhUX0xWSkxLQmw3YXh0TE5rRFh3YXM5T1h2SWg4cFRxM2ktdWF2ajNfSXVLeFp1VnRoSFZraldjM09ub1QwOF9RZkM4VVZoNS1uYU9OYnNDMzBzZldvcUEzaE5TR3hobG5xekFnQXNKSWxUQ0FtQzZyWUo2MGlB?oc=5&hl=en-IN&gl=IN&ceid=IN:en')
('2025-07-16T12:18:49', 'WIPRO', '5 Things to Know About Kumar Chander, the Next CEO of Wipro Consumer Care & Lighting  Indian Retailer', 'https://news.google.com/rss/articles/CBMixAFBVV95cUxQSF9uU0s4ZmlZYmJlUmhxMmpIZ1FaX1YzRE0wSXhjTmprSzViM0stRHJEVWZnUS00RVJ3RG5sWG1DVzl5TkkzN1FrdlFyR1YtMm9sdU9ZWFEwb0cwdjIzSmJ1WHRIZ05VbDl4U3lyczNoZnZZejFTdEdRWlExenprZUlWREUtNnV0YTg2Uy0xbFNMaDdLT0gzR0dDb3U1RDVScXJTS2VPNDVsZ3BRTzhILW1fdW4wVE1laUMxQWp4VWgtN21Z?oc=5&hl=en-IN&gl=IN&ceid=IN:en')
