symbol,company_name,period_date,total_revenue,total_expenditure,net_profit
ADANIENT,Adani Enterprises Limited,2025-03-31,978947500000.0,287935900000.0,70990000000.0
ADANIENT,Adani Enterprises Limited,2024-03-31,964209800000.0,319194200000.0,32407800000.0
ADANIENT,Adani Enterprises Limited,2023-03-31,1273896500000.0,158968300000.0,24639800000.0
ADANIENT,Adani Enterprises Limited,2022-03-31,693043600000.0,49903100000.0,7765600000.0
ADANIGREEN,Adani Green Energy Limited,2025-03-31,112120000000.0,33930000000.0,14440000000.0
ADANIGREEN,Adani Green Energy Limited,2024-03-31,92200000000.0,26180000000.0,11000000000.0
ADANIGREEN,Adani Green Energy Limited,2023-03-31,77750000000.0,15200000000.0,9740000000.0
ADANIGREEN,Adani Green Energy Limited,2022-03-31,51330000000.0,10070000000.0,4890000000.0
ADANIPORTS,Adani Ports and Special Economic Zone Limited,2025-03-31,304753300000.0,19755500000.0,110923100000.0
ADANIPORTS,Adani Ports and Special Economic Zone Limited,2024-03-31,267105600000.0,18339000000.0,81106400000.0
ADANIPORTS,Adani Ports and Special Economic Zone Limited,2023-03-31,208519100000.0,22774000000.0,53088500000.0
ADANIPORTS,Adani Ports and Special Economic Zone Limited,2022-03-31,169790800000.0,24638100000.0,48860300000.0
ADANIPOWER,Adani Power Limited,2025-03-31,562030900000.0,81172000000.0,127496100000.0
ADANIPOWER,Adani Power Limited,2024-03-31,503512500000.0,69229900000.0,208287900000.0
ADANIPOWER,Adani Power Limited,2023-03-31,387174800000.0,42880600000.0,107266400000.0
ADANIPOWER,Adani Power Limited,2022-03-31,276549000000.0,36593600000.0,49115800000.0
APOLLOHOSP,Apollo Hospitals Enterprise Limited,2025-03-31,217940000000.0,82197000000.0,14459000000.0
APOLLOHOSP,Apollo Hospitals Enterprise Limited,2024-03-31,190592000000.0,75500000000.0,8986000000.0
APOLLOHOSP,Apollo Hospitals Enterprise Limited,2023-03-31,164448000000.0,64213000000.0,8191000000.0
APOLLOHOSP,Apollo Hospitals Enterprise Limited,2022-03-31,145362000000.0,53743000000.0,10556000000.0
ASIANPAINT,Asian Paints Limited,2025-03-31,337973600000.0,93017100000.0,36672300000.0
ASIANPAINT,Asian Paints Limited,2024-03-31,353821200000.0,85599300000.0,54602300000.0
ASIANPAINT,Asian Paints Limited,2023-03-31,343887100000.0,76563600000.0,41064500000.0
ASIANPAINT,Asian Paints Limited,2022-03-31,289413500000.0,66281400000.0,30305700000.0
