symbol,reliability_score,growth_scope,valuation_score,overall_score,overall_grade,recommendation,risk_level,key_highlights
TCS,0,0,21,5.2,D-,Sell,Medium,"['Reliability: 0/100', 'Growth Potential: 0/100', 'Valuation: 21/100', 'Risk: Medium']"
JSWSTEEL,0,0,31,7.8,D-,Sell,High,"['Reliability: 0/100', 'Growth Potential: 0/100', 'Valuation: 31/100', 'Risk: High']"
M&M,0,0,28,7.0,D-,Sell,High,"['Reliability: 0/100', 'Growth Potential: 0/100', 'Valuation: 28/100', 'Risk: High']"
WIPRO,0,0,46,11.5,D-,Sell,Medium,"['Reliability: 0/100', 'Growth Potential: 0/100', 'Valuation: 46/100', 'Risk: Medium']"
TECHM,0,0,21,5.2,D-,Sell,Medium,"['Reliability: 0/100', 'Growth Potential: 0/100', 'Valuation: 21/100', 'Risk: Medium']"
CIPLA,0,0,36,9.0,D-,Sell,Low,"['Reliability: 0/100', 'Growth Potential: 0/100', 'Valuation: 36/100', 'Risk: Low']"
LTIM,0,0,21,5.2,D-,Sell,Medium,"['Reliability: 0/100', 'Growth Potential: 0/100', 'Valuation: 21/100', 'Risk: Medium']"
SBIN,0,0,63,15.8,D-,Sell,Low,"['Reliability: 0/100', 'Growth Potential: 0/100', 'Valuation: 63/100', 'Risk: Low']"
TATACONSUM,0,0,16,4.0,D-,Sell,Medium,"['Reliability: 0/100', 'Growth Potential: 0/100', 'Valuation: 16/100', 'Risk: Medium']"
INFY,84,62,26,61.8,B,Hold,Medium,"['Reliability: 84/100', 'Growth Potential: 62/100', 'Valuation: 26/100', 'Risk: Medium']"
BRITANNIA,0,0,16,4.0,D-,Sell,High,"['Reliability: 0/100', 'Growth Potential: 0/100', 'Valuation: 16/100', 'Risk: High']"
COALINDIA,0,0,75,18.8,D-,Sell,High,"['Reliability: 0/100', 'Growth Potential: 0/100', 'Valuation: 75/100', 'Risk: High']"
ADANIPOWER,0,0,46,11.5,D-,Sell,Medium,"['Reliability: 0/100', 'Growth Potential: 0/100', 'Valuation: 46/100', 'Risk: Medium']"
AXISBANK,0,0,70,17.5,D-,Sell,Low,"['Reliability: 0/100', 'Growth Potential: 0/100', 'Valuation: 70/100', 'Risk: Low']"
ITC,0,0,21,5.2,D-,Sell,Low,"['Reliability: 0/100', 'Growth Potential: 0/100', 'Valuation: 21/100', 'Risk: Low']"
SBI,0,0,0,0.0,N/A,Data Unavailable,Low,"['Reliability: 0/100', 'Growth Potential: 0/100', 'Valuation: 0/100', 'Risk: Low']"
ASIANPAINT,0,0,16,4.0,D-,Sell,Medium,"['Reliability: 0/100', 'Growth Potential: 0/100', 'Valuation: 16/100', 'Risk: Medium']"
ONGC,0,0,95,23.8,D-,Sell,High,"['Reliability: 0/100', 'Growth Potential: 0/100', 'Valuation: 95/100', 'Risk: High']"
INDUSINDBK,0,0,65,16.2,D-,Sell,Low,"['Reliability: 0/100', 'Growth Potential: 0/100', 'Valuation: 65/100', 'Risk: Low']"
MARUTI,0,0,31,7.8,D-,Sell,Medium,"['Reliability: 0/100', 'Growth Potential: 0/100', 'Valuation: 31/100', 'Risk: Medium']"
TATASTEEL,0,0,43,10.8,D-,Sell,High,"['Reliability: 0/100', 'Growth Potential: 0/100', 'Valuation: 43/100', 'Risk: High']"
POWERGRID,0,0,48,12.0,D-,Sell,High,"['Reliability: 0/100', 'Growth Potential: 0/100', 'Valuation: 48/100', 'Risk: High']"
NTPC,0,0,63,15.8,D-,Sell,High,"['Reliability: 0/100', 'Growth Potential: 0/100', 'Valuation: 63/100', 'Risk: High']"
SUNPHARMA,0,0,16,4.0,D-,Sell,Medium,"['Reliability: 0/100', 'Growth Potential: 0/100', 'Valuation: 16/100', 'Risk: Medium']"
HCLTECH,0,0,16,4.0,D-,Sell,Medium,"['Reliability: 0/100', 'Growth Potential: 0/100', 'Valuation: 16/100', 'Risk: Medium']"
TITAN,0,0,13,3.2,D-,Sell,High,"['Reliability: 0/100', 'Growth Potential: 0/100', 'Valuation: 13/100', 'Risk: High']"
ULTRACEMCO,0,0,21,5.2,D-,Sell,High,"['Reliability: 0/100', 'Growth Potential: 0/100', 'Valuation: 21/100', 'Risk: High']"
