symbol,company_name,sector,market_cap,market_cap_formatted,current_price,pe_ratio,forward_pe,pb_ratio,ps_ratio,peg_ratio,enterprise_value,ev_revenue,ev_ebitda,eps,book_value_per_share,revenue_per_share
TCS,Tata Consultancy Services Limited,Technology,12278351003648.0,₹1227835.10 Cr,3393.6,25.26,21.93949,12.96,4.81,,11973691441152.0,4.69,18.255,134.19,261.89,705.66
JSWSTEEL,JSW Steel Limited,Basic Materials,2456588124160.0,₹245658.81 Cr,997.0,69.43,14.401696,3.07,1.46,,3254750806016.0,1.928,14.21,14.36,325.79,682.65
M&M,Mahindra & Mahindra Limited,Consumer Cyclical,3820123062272.0,₹382012.31 Cr,3135.0,27.25,22.5538,4.54,2.37,,4484657840128.0,2.779,13.702,115.91,690.66,1423.2
WIPRO,Wipro Limited,Technology,2788737941504.0,₹278873.79 Cr,263.24,21.01,10.412974,3.32,3.13,,2414485176320.0,2.71,13.908,12.56,79.21,85.2
TECHM,Tech Mahindra Limited,Technology,1488502390784.0,₹148850.24 Cr,1681.8,35.16,26.005877,5.45,2.81,,1440071942144.0,2.718,20.599,48.0,308.91,598.24
CIPLA,Cipla Limited,Healthcare,1211965374464.0,₹121196.54 Cr,1499.1,22.99,23.593012,3.88,4.44,,1109871689728.0,4.07,15.805,,,
LTIM,LTIMindtree Limited,Technology,1581079461888.0,₹158107.95 Cr,5327.5,34.41,27.031527,6.95,4.16,,1493428994048.0,3.929,24.927,155.29,766.48,1283.47
SBIN,State Bank of India,Financial Services,7105336049664.0,₹710533.60 Cr,790.2,9.09,9.558486,1.45,2.07,,11873207451648.0,3.462,,86.91,545.74,406.08
TATACONSUM,Tata Consumer Products Limited,Consumer Defensive,1097787899904.0,₹109778.79 Cr,1109.4,84.75,74.257034,5.49,6.23,,1104480305152.0,6.269,46.915,,,
INFY,Infosys Limited,Technology,6726297845760.0,₹672629.78 Cr,1584.0,24.09,21.902655,585.8,348.93,,6560165134336.0,340.31,1472.044,0.77,2.55,4.49
BRITANNIA,Britannia Industries Limited,Consumer Defensive,1346031190016.0,₹134603.12 Cr,5569.5,61.73,68.4466,30.8,7.5,,1339831091200.0,7.467,42.039,,,
COALINDIA,Coal India Limited,Energy,2418871631872.0,₹241887.16 Cr,392.5,6.84,15.4345255,2.44,1.91,,2145507213312.0,1.69,4.559,,,
ADANIPOWER,Adani Power Limited,Utilities,2079924158464.0,₹207992.42 Cr,538.0,16.63,-241.2556,3.68,3.7,,2468299931648.0,4.392,11.54,32.32,142.84,142.47
AXISBANK,Axis Bank Limited,Financial Services,3783778893824.0,₹378377.89 Cr,1214.1,13.46,11.649115,2.11,4.93,,5424444604416.0,7.071,,90.72,605.45,274.47
ITC,ITC Limited,Consumer Defensive,5237780250624.0,₹523778.03 Cr,413.9,26.25,21.841688,7.39,6.95,,4981178499072.0,6.613,18.952,27.79,56.01,59.71
SBI,SBI,N/A,,₹0,,,,,,,,,,,,
ASIANPAINT,Asian Paints Limited,Basic Materials,2190679736320.0,₹219067.97 Cr,2264.1,59.18,80.173515,11.19,6.47,,2154293362688.0,6.362,38.442,38.25,202.34,352.51
ONGC,Oil and Natural Gas Corporation Limited,Energy,3168343162880.0,₹316834.32 Cr,251.38,8.73,7.0355444,0.92,0.48,,5044721680384.0,0.761,5.23,28.8,273.04,527.31
